BOD,name,count(nameGiven)
1875-02-04,"James A.,Alfonzo DeFord",2
1875-03-28,"Harry Gilbert,James Erigena",2
1875-04-11,"Freeman Osee,William Winfield",2
1875-04-13,"Peter James,Norman Arthur",2
1875-08-01,"Henry T.,Wiley Anderson",2
1875-08-04,"Henry Tefft,Raymond",2
1875-08-15,"Robert Charles,Thomas Joseph",2
1875-08-27,"William Edgar,Edward,David William",3
1875-08-31,"Edward Stewart,Richard Jerome",2
1875-09-04,"John Robert,Fred Fritz",2
1875-09-12,"John Peter,William Arthur",2
1876-01-01,"Joseph Samuel,Harry Clayton",2
1876-02-13,"Frederick Bristol,Frederick William Alexander",2
1876-03-29,"Robert Henry,Frank Rufus",2
1876-04-06,"Charles Melton,Francis Patrick",2
1876-05-04,"David Francis,Charles Taylor",2
1876-06-02,"Charles Claude,James Joseph",2
1876-08-07,"Louis Ellis,Patrick Joseph",2
1876-08-24,"John J.,Franklin Cady",2
1876-09-03,"George Robert,Jeremiah Francis,Dakin Evans",3
1876-09-28,"Nelson,Creed Napoleon",2
1876-10-13,"George Edward,William Edward",2
1876-10-27,"Patrick Henry,Charles Benton",2
1876-11-03,"Philip Louis,Isaac Broc",2
1876-11-06,"Edward,David Tilden",2
1876-11-12,"William Ansil,Edwin Henry",2
1876-12-04,"John Sebastian,Henry Charles",2
1876-12-16,"Frederick Joseph,Samuel Nicklin",2
1876-12-27,"Orville Francis,Charles Carbitt",2
1877-01-26,"Davis Bowles,Bernard James,Eli Eldo",3
1877-02-23,"Rudolph Edward,Ulysses Grant",2
1877-03-10,"John Henry,John Frederick",2
1877-03-23,"Edgar Ruben,George Frederick",2
1877-05-09,"Lewis L.,Alexander Johnson",2
1877-10-28,"Vivan Alexander,Joseph Edward",2
1877-12-13,"Leo,Frank",2
1878-01-12,"William Calvin,George Henry",2
1878-02-02,"Emil Karl,James Henry",2
1878-03-06,"John Weaver,Berthold Juneau",2
1878-03-23,"Ivan,Homer Vernon",2
1878-04-27,"Charles William,George Lovington",2
1878-05-13,"Frank Vernon,John Joseph",2
1878-06-05,"Frederick Francis,Arthur Edgar,William Alphonse",3
1878-09-27,"Alfred Joseph,Clarence Veasey",2
1878-12-04,"William Denton,Samuel Everett,Frank Edward",3
1878-12-20,"William Bankhead,Robert Prill",2
1879-01-12,"Henry Theodore,James Garrett",2
1879-02-12,"Harry John,Clarence Henry",2
1879-03-13,"John Benedict,Malcolm Wayne",2
1879-04-09,"John,Guy Harris",2
1879-04-10,"Nicholas Alexander,Thomas Arthur",2
1879-04-12,"Fred Herbert,William Edward",2
1879-05-20,"John Patrick,John Peter",2
1879-09-07,"Charles Emmett,George Leroy",2
1879-10-28,"Frank Elmer,Benjamin James",2
1879-11-10,"Charles Augustus,James Fitchie",2
1879-12-08,"James Philip,John",2
1880-01-05,"Frederick Creighton,Adolf Otto,James Joseph",3
1880-02-14,"Claude Elzy,Harry Archibald",2
1880-02-16,"Frank Aloysius,Carl Leonard",2
1880-02-21,"Joseph Thompson,William Simmons",2
1880-03-12,"Frank Fred,Jay King",2
1880-04-16,"Christian Ernst,Philip",2
1880-07-04,"George Joseph,Edward Ottis",2
1880-07-14,"Edward Ambrose,Seabron Jesse",2
1880-07-20,"Harry Delbert,Edward William",2
1880-07-27,"John Henry,Joseph Bert,Henry Cooke",3
1880-09-10,"Herbert Clyde,Barney",2
1880-09-23,"Cecil Fleming,Charles F.",2
1881-02-28,"Harry Elwood,Terrance Lamont",2
1881-03-07,"William Dennis,Oliver,Charles Augustus",3
1881-05-11,"Alfredo A.,Jesse Rhoades",2
1881-06-05,"Albert Leonard,John Frederick Mann",2
1881-07-03,"Clifton Garfield,Frederic William",2
1881-07-06,"Walter,Roy Allen",2
1881-07-21,"Wallace Oakes,John Joseph,Morris Elmer",3
1881-08-22,"Harry Joseph,Samuel Howard",2
1881-10-07,"James Garfield,Charles Elmer",2
1881-10-16,"William,Mark Garfield",2
1881-10-18,"John Bernard,Michael Berchman",2
1881-11-03,"Orson F.,John William",2
1881-11-10,"John Bernard,George Harrison",2
1881-11-14,"Frederick Behlmer,James Leo",2
1881-12-25,"Joseph Nicodemus,James Francis",2
1882-01-01,"Andrew,Howard",2
1882-01-17,"Harry Ernest,John Jonas",2
1882-03-20,"Harry Gregory,Thomas Francis",2
1882-05-05,"George Lynn,Leon Abner",2
1882-07-03,"Thomas Francis,William Louis",2
1882-08-02,"Leon Kessling,James Scott",2
1882-08-25,"James John,Cornelius Bernard",2
1882-09-14,"Thomas Francis,Philip Clarence",2
1882-09-30,"Charles Evard,Arthur William",2
1882-10-12,"John Preston,Ivan Chester",2
1882-10-29,"Frank,Arthur Frederick",2
1882-11-18,"William Martin,John Wesley",2
1882-12-23,"George,Samuel William,Albert James,Albert Casper",4
1883-02-13,"Harold Homer,Harl Vestin",2
1883-04-04,"William White,John Edwin",2
1883-04-29,"Walter S.,Ambrose Moses,William Alexander",3
1883-06-16,"Alonzo Albert,John Francis",2
1883-07-31,"Thomas Joseph,Charles Eugene,Clarence Hanford",3
1883-08-23,"Elwood Lewis,Jerome Willis",2
1883-08-27,"Cecil Benoni,William P.",2
1883-08-30,"William Hutchinson,Samuel Sherwood",2
1883-10-07,"Philip,Albert William",2
1883-11-20,"Harry Monroe,Arthur Augustus",2
1883-12-10,"James Walter,George Henry",2
1884-02-01,"James Robert,Joseph Francis",2
1884-03-12,"Patrick J.,George Robert",2
1884-03-19,"Arthur Clyde,Charles Walter",2
1884-03-26,"Jacob Bowman,James Sanford",2
1884-05-13,"John Arthur,Miles Grant,John Albert",3
1884-05-25,"William Dearstyne,William Hershel",2
1884-06-12,"Elmer Ellsworth,Franz Otto",2
1884-06-22,"Roy Wesley,Robert Charles",2
1884-07-04,"John Milton,Louis Hugo",2
1884-07-05,"Ward Taylor,James Henry",2
1884-07-26,"Thomas Aloysius,Edward Otto",2
1884-08-06,"Sherwood Robert,Jacob John,Charles Herman",3
1884-08-13,"George Wilson,Charles J.",2
1884-08-25,"Alexander Aloysius,Thomas Henry",2
1884-09-14,"William Henry,Andrew James",2
1884-09-22,"John Stanley,Grover Cleveland",2
1884-12-24,"Ernest John,George Carl",2
1885-01-02,"William Askew,Albert George,Jose de la Caridad",3
1885-01-31,"Drummond Nicol,Edward Hicks",2
1885-03-12,"Dode,Charles Cleveland",2
1885-03-15,"Ralph Vivian,Otto Casper",2
1885-03-17,"Adair Bushyhead,William Charles",2
1885-04-13,"Sylveanus Augustus,Wade",2
1885-05-23,"Hugh Frederick,Ralph Edgar",2
1885-06-01,"John Herman,James Elmer",2
1885-07-22,"Elmer Ellsworth,Sheldon Aldenburg",2
1885-09-12,"Frederick William,John Edward",2
1885-09-22,"Walter E.,Frederick Boothe",2
1885-10-06,"John Wesley,John Budd",2
