BOD,name,count(nameGiven)
1896-02-29,"Ralph Joseph,Roy William",2
1896-04-24,"Kenneth William,Francis Arthur",2
1896-04-25,"Fred Girard,Arthur Joseph",2
1896-05-19,"Baldomero Pedro,Bernard Aloysius",2
1896-06-01,"John Anthony,Joel Ivan",2
1896-06-05,"Raymond Sinclair,Wade Hampton",2
1896-07-05,"Herbert Ehler,Alexander Vernon",2
1896-07-19,"Robert William,John Peter",2
1896-07-20,"Alfred George,William Clarence",2
1896-08-04,"Clarence Edward,Clifford Walker",2
1896-08-15,"Bennett Harold,William Henry",2
1896-09-02,"Harry Graydon,Paul Oscar",2
1896-09-06,"Paul Vernon,Francis William",2
1896-09-08,"Valentine John,John Clement",2
1896-09-13,"Tharon Patrick,Arthur Milton,Roy Edward",3
1896-10-05,"Charles Edward,Daniel James",2
1896-10-13,"Charles Henry,Claude Boucher",2
1896-12-02,"William Eugene,Samuel Marshall",2
1896-12-06,"Robert McKahan,Frank Edward",2
1897-01-06,"Clyde Ellsworth,Byron Franklin",2
1897-02-11,"Leo Alphonso,Joseph Aloysius,Maurice Joseph",3
1897-02-15,"Arthur Gilbert,Charles Hunt",2
1897-02-16,"Paul Henry,James Alexander",2
1897-03-04,"Cornelius Joseph,Francis Joseph",2
1897-03-05,"Virgil Jennings,Luzerne Atwell",2
1897-03-21,"Augustus Franklin,William Harmong",2
1897-03-27,"Joseph Earl,Effa",2
1897-04-10,"Joseph Preston,Royce Middlebrook",2
1897-07-03,"Chester Raymond,John Henry",2
1897-07-18,"James Hensel,Patrick Joseph,Edward Creech",3
1897-07-23,"Arthur Edwin,Horace Hills",2
1897-08-08,"Kenneth Eugene,Charles William",2
1897-08-17,"Joseph Siah,Edward Francis",2
1897-08-24,"Albert,John Allen,Francis Bruce",3
1897-09-17,"William Earl,Joseph Henry",2
1897-09-30,"Edward Aloysius,Michael Andrew",2
1897-10-15,"Dennis John,Samuel David",2
1897-10-20,"Thomas Martin,Arnold John",2
1897-10-26,"George Benjamin,Grier William",2
1897-11-09,"John Beverley,Harvey",2
1897-11-17,"Walter John,David Matthew",2
1897-11-23,"Clarence James,Claude Alfred,Frederick",3
1897-11-30,"Noble Winfred,Edgar Dudley",2
1897-12-10,"Arthur Joseph,Carlos Phillipe",2
1897-12-21,"Floyd John,Harold Augustine",2
1898-01-12,"George Bertram,Richard Frank",2
1898-01-28,"William Nicholas,James Morton",2
1898-02-04,"John Stephenson,John Leo",2
1898-02-26,"Frank Burnett,John Dudley",2
1898-03-15,"Harold Lee,Wilfred Patrick Dolan",2
1898-04-29,"Thomas Joseph,Emil Henry",2
1898-05-06,"Absalom Holbrook,George Dewey",2
1898-07-27,"Bernard Oliver,James Wren",2
1898-08-18,"Harold Eugene,William Young",2
1898-08-27,"Clarence Henry,Frank",2
1898-09-23,"Horace Milton,George King",2
1898-10-30,"William Harold,Jesse Peter",2
1898-11-30,"Louis Walter,Frederick",2
1898-12-16,"Edward Thomas,Frank Victor",2
1899-01-05,"William Fenton,Robert Francis",2
1899-01-23,"William Wright,Harold Edward",2
1899-01-24,"James Kendrick,Robert Leon",2
1899-01-27,"Robert Schley,Bibb August",2
1899-03-27,"Martin Van Buren,Edward Francis",2
1899-04-08,"William Lerton,Theodore Otto",2
1899-04-12,"Bernard,Berlyn Dale",2
1899-04-18,"Harry Joseph,William Lear",2
1899-05-02,"Oran Herbert,George Gaylord",2
1899-05-23,"Charles Arthur,Francis Mortiford",2
1899-05-29,"Arthur Conrad,Harold William",2
1899-07-23,"Edward Edgar,Charlie Leland",2
1899-08-05,"Walter Howard,Samuel Braxton",2
1899-08-07,"Guy,Frederick Davis",2
1899-09-20,"Karl Otto,Nelson George",2
1899-10-11,"Ernest Henry,Edwin Hawley",2
1899-11-18,"Frank W.,Reynolds Joseph",2
1899-11-21,"Charles Griffin,August William",2
1899-12-10,"Verdo Wilson,Herman Charles",2
1899-12-23,"Alphonse,Walter Scott",2
1899-12-25,"Thomas Jefferson,Eugene Edward",2
1899-12-26,"Arthur Cecil,William Julius,Logan Gaffney",3
1900-01-01,"Edward Joseph,Albert John",2
1900-01-07,"John Patrick,William Carlton",2
1900-02-02,"William Edward,Frank George",2
1900-02-19,"John Francis,Oscar Frederick Louis",2
1900-02-25,"Joseph Francis,John Patrick",2
1900-04-23,"James Leroy,Joseph James",2
1900-05-20,"Claral Lewis,George Farley,Ollie Chester",3
1900-05-24,"Clayton Emory,Walter Dedaker,Albert Berley",3
1900-06-10,"Edgar Garland,Walter Francis",2
1900-06-26,"Joubert Lum,Elmer Ellsworth",2
1900-07-01,"Melbern Ellis,Louis Lester",2
1900-07-02,"Joseph Rosenblum,Henry Arthur",2
1900-07-04,"James Lavoisier,Westcott William",2
1900-09-05,"Alphonse Francis,Mervyn John",2
1900-09-15,"Charles Roy,John William",2
1900-09-17,"Hugh Melville,Roy John",2
1900-10-16,"Henry Nicholas,Leon Allen",2
1900-10-22,"William Henry,James Thomas",2
1900-11-18,"Vincent William,James Milburn",2
1900-12-01,"Everett Duane,Michael John",2
1900-12-19,"Walter John,Ernest Lee",2
1901-01-24,"Warren Harvey,Charles Flint,Grant,John Edward",4
1901-04-22,"Taylor Lee,James Bernard",2
1901-05-13,"Patrick Edward,Leo Thomas,John William",3
1901-05-25,"Horace Robert,Mervin Thomas",2
1901-06-01,"Fred Warren,Louis Alfred",2
1901-08-27,"John Henne,Philip Eugene",2
1901-09-11,"George Herbert,Monroe Barr",2
1901-09-29,"Stanley W.,George Anthony",2
1901-11-15,"John Kenneth,John William Joseph",2
1901-11-22,"Harry Francis,Walter Edward",2
1901-11-30,"Clyde Leroy,Samuel Sidney",2
1901-12-05,"Raymond Earl,Carey Isom",2
1902-01-02,"Raymond Frederick,Nicholas",2
1902-01-07,"Clifford Hiram,Alfred Chester",2
1902-01-16,"Horace Levering,Joseph Bernard",2
1902-01-28,"John Laurence,Clifford Rankin",2
1902-02-09,"Julian Valentine,Donald Wayne",2
1902-05-16,"William Watson,Howard Chumney",2
1902-05-22,"Decatur Poindexter,Aloysius Harry",2
1902-08-03,"Joseph Conrad,Douglas John",2
1902-08-04,"William Anthony,Homer,Albert James",3
1902-08-24,"James Price,John Leonard",2
1902-08-28,"Walter Henry,Arthur Edward",2
1902-09-19,"James Lawrence,Broadus Milburn",2
1902-10-09,"Kenneth Timothy,James Daniel",2
1902-12-18,"Leslie Kingston,Joseph Henry",2
1903-01-06,"George Addison,Howard Arthur,Frederick George",3
1903-01-19,"Edgar Merle,Frederick Warrington",2
1903-01-27,"Earl Baxter,Arthur August",2
1903-02-10,"George William,Walter Irvin,John Charles",3
1903-02-12,"Charles James,Andrew Matthew",2
1903-03-11,"Chester Franklin,William Arthur",2
1903-04-17,"Elmer Joseph,John Bode",2
1903-06-26,"Floyd Caves,George Earl",2
1903-08-06,"James Riley,Harold James",2
1903-08-27,"Charlie August,Marvin John",2
1903-09-01,"Foster Hamilton,Frederick Alfred",2
1903-09-07,"Albert Joseph,Curtis Benton,John Clarence",3
1903-09-28,"Henry Eckhard,James Benson",2
1903-10-09,"Johnnie Joseph,Walter Francis",2
1903-10-12,"Robert Clyde,Jack Albert",2
1903-11-02,"Elon Chester,Travis Calvin",2
1904-02-13,"Cecil Glenford,Charles Caspar",2
1904-03-31,"Samuel Lawrence,William Russell",2
1904-04-09,"Guy Dewey,Frederick Meloy",2
1904-04-30,"Neal Vernon,Anthony Joseph",2
1904-05-09,"Bradford Louis,James Paul",2
1904-05-26,"Frank Roland,William David",2
1904-06-15,"Edward John,Everett Virgil,Henry Rudolph",3
1904-07-04,"Melvin David,Edward Christopher",2
1904-10-28,"Joseph Leo,Elias Calvin",2
1904-12-25,"William G.,Lloyd Andrew",2
1905-01-02,"Arthur Carter,Ralph",2
1905-07-27,"Rudolph Matas,Leo Ernest",2
1905-08-10,"James Dorn,Willie James,Edward",3
1905-08-21,"Frank Orum,James Frederick",2
1905-08-31,"Franklin Thomas,John Peter",2
1905-09-15,"Vance Linwood,Henry Stephen",2
1905-09-16,"John Raymond,Joseph Albert",2
1905-09-26,"Cecil Bradford Patrick,Urban John",2
1905-10-10,"John Thomas,Walter Anton",2
1905-10-24,"Jack Erwin,Charles Albert",2
1905-11-21,"Frederick Charles,Leslie Clyde",2
1906-02-28,"Albert Jones,Peter George",2
1906-03-02,"Elwood George,Ellis Foree",2
1906-03-12,"Russell Collier,Lyle Forest",2
1906-03-22,"Julius Joseph,Carlton Overton,Marvin James",3
1906-05-23,"George Willis,Patrick Francis",2
1906-06-21,"Russell,Randolph Edward,Arthur Laird",3
1906-07-07,"Leroy Robert,Richard William",2
1906-07-10,"Adolph James,Harold Leroy",2
1906-08-06,"Clyde Elias,Edgar Jewel",2
1906-08-13,"Carlos Whitman,Charles Arthur,Kemp Caswell,Clifford William",4
1906-08-29,"Jonah John,Alexander Marcus",2
1906-09-13,"Thornton Starr,James Julius",2
1906-09-15,"John Martin,Charles Orval",2
1906-11-01,"Warren Dawson,Henry George",2
1907-01-20,"Jesse Terrill,Herman Alexander,Robert Andrew",3
1907-01-25,"James Audrey,Royden Richard",2
1907-02-22,"Meredith Hilliard,Daniel Phillip",2
1907-02-24,"Robert Earl,Ira Robert",2
1907-04-05,"Merritt Patrick,John Henry William",2
1907-07-25,"William Morgan,Joseph John",2
1907-08-11,"James Joseph,Forrest Docenus,Louis Norman,John Gordon",4
1907-08-20,"Roy Chester,William Elmer",2
1907-08-21,"Arthur Edward,Coburn Dyas",2
1907-08-31,"Raymond Frederick,John Irving",2
1907-09-12,"Aloysius Frank,Spurgeon Ferdinand",2
1907-09-27,"Haskell Clark,Walter Joseph,John Whitlow",3
1907-10-12,"Philip,Alfred John",2
1908-02-02,"Raymond Franklin,Wesley Cheek",2
1908-02-23,"Robert Anthony,Raymond C.",2
1908-03-29,"William Goss,Gilbert Herman",2
1908-04-06,"Joseph Aloysius,Richard Renald,Ernesto Natali",3
1908-06-04,"Orville Edwin,Robert Harold",2
1908-08-10,"Arvel Odell,William Felix",2
1908-11-19,"Joseph Charles,Elmer Harley",2
1908-12-25,"William Benjamin,Alta Albert,Joseph Gregg",3
1909-02-13,"Ernest William,George Lloyd",2
1909-02-28,"Roman Mathias,Walter Frank",2
1909-05-21,"Mace Stanley,Richard O.",2
1909-07-15,"John Lewis,Donald Stafford",2
1909-09-19,"Hershel Ray,Frank Bernard",2
1909-11-05,"Harry Edwards,Leslie Edwin",2
1909-11-18,"John Joseph,Joseph Marvin",2
1910-01-19,"Hugh Reid,Edwin Dibrell",2
1910-03-07,"Frederick Marvin,Howard Alexander",2
1910-03-27,"Vincent Thomas,Stephen Richard",2
1910-04-04,"Joseph,Joseph Franklin",2
1910-07-31,"Glenn Ignatius,Gordon Joseph",2
1910-09-10,"Louis Nathan,Edwin Milby",2
1910-09-21,"Elden LeRoy,Albert Maxwell",2
1910-09-24,"Thomas Edward,Fred",2
1910-09-30,"Chester Jennings,Francis Michael",2
1910-11-18,"Joseph John,Maryland Dykes",2
1910-11-28,"William Henry,Edward Michael",2
1911-01-30,"Lincoln William,Robert Clyde",2
1911-02-08,"Donald Henry,Rae Bertrum",2
1911-02-24,"John Andrew,Gerard",2
1911-04-25,"Roberto,Conrado Eugenio",2
1911-09-06,"Harry,Vallie Ennis",2
1911-12-01,"Walter Emmons,Junie Shoaf",2
1911-12-05,"Stuart McGuire,Charles Richard,Don Wilson",3
1911-12-07,"Dennis Ward,Donald Spore",2
1911-12-21,"Anthony Thomas,Joshua",2
1912-02-12,"Lincoln Howard,Lloyd Arthur",2
1912-03-05,"Richard Merriwell,James Joseph",2
1912-03-16,"Hubert Edgar,Edward Joseph",2
1912-06-15,"Merritt Marwood,Ellsworth Tenney",2
1912-06-19,"Arnold Revola,Donald Joseph",2
1912-06-30,"Dino Joseph,Manuel,John Wilson",3
1912-07-30,"William Carl,John Costa,Charles Karel",3
1912-07-31,"Archibald Edwin,Jesse Glenn",2
1912-08-04,"William Charles,Henry Peter",2
1912-09-01,"Herman Joseph,Claude Edward",2
1912-09-04,"Fred James,Gordon Ralph",2
1912-09-20,"Anthony Andrew,Albert Eldon",2
1912-10-11,"Fermin,Wayne Harold",2
1912-10-12,"Edward Jerome,Albert Bernard",2
1912-11-11,"Harold Arthur,Albert Edgar",2
1912-11-13,"John Thomas Reid,Alexis William",2
1912-11-19,"Stephen Paul,Stuart McGuire",2
1912-12-25,"Charles Peter,Quincy Thomas",2
1913-01-27,"Floyd Vernie,Stewart Edward",2
1913-05-14,"John Charles,Howard Paul",2
1913-06-04,"Ambrose Joseph,Joseph Francis",2
1913-06-08,"Arthur Leo,Earl Percy",2
1913-06-16,"Frank John,Peter Joseph",2
1913-07-01,"Guido Joe,Francis Joseph",2
1913-07-14,"Donald William,Arthur Eugene",2
1913-07-17,"Fred,Charlie Andrew",2
1913-07-31,"Joseph Ignatius,Leslie Fletchard",2
1913-08-16,"Ernest Edward,Lewis Emmett",2
1913-08-25,"Samuel Woody,Bernard Austin",2
1913-08-31,"Mays,Raymond Emmett",2
1913-10-25,"Herbert Frederick,Eugene Louis,Philip Joseph",3
1913-11-15,"Lyle Leroy,Erling Adell",2
1913-12-24,"George Edward,Owen Franklin",2
1914-01-05,"Joseph LaVerne,John Theodore",2
1914-01-19,"Aloysius Edward,Benjamin Baldy",2
1914-01-31,"Melvin Leonard,Charles John",2
1914-02-08,"Berthold John,Melvin Edward",2
1914-02-23,"Michael,Lynnwood Lincoln",2
1914-04-01,"George Washington,Murray Asher",2
1914-04-27,"Arnold Joseph,George Albert,Charles Lowrie",3
1914-05-14,"Albert Myron,James Robert",2
1914-06-22,"Maurice Milton,James Marion",2
1914-07-18,"Andrew,Benjamin Franklin",2
1914-08-05,"Robert Kenneth,Robert Francis",2
1914-10-10,"Italo Vincent,Thomas Morgan",2
1914-11-02,"John Samuel,Jesse Sandoval,Thomas Raymond",3
1914-11-04,"Lester William,Sigmund Stanley",2
1914-11-15,"Thompson Orville,Maurice Rene",2
1914-11-21,"George Albert,Carl",2
1914-11-25,"Eugene Louis,Joseph Paul",2
1915-01-06,"Thomas Jerome,Charles Thomas",2
1915-01-13,"Michael Dan,Michael",2
1915-01-17,"Edward Mayo,Chalmer Luman",2
1915-02-18,"Lewis Miller,Joseph Lowell",2
1915-02-26,"Stewart Cole,William Gordon",2
1915-03-05,"Henry Victor,Stanley,Harry",3
1915-03-06,"Robert Virgil,Peter J.",2
1915-03-07,"James David,Clarence",2
1915-04-19,"Harry Francis,Glenn Richard",2
1915-05-02,"Kenneth Albert,Kenneth Franklin",2
1915-05-04,"John Anthony,Donald D.",2
1915-06-23,"John William,Aaron Andrew",2
1915-07-01,"Cletus Elwood,Norman Robert",2
1915-07-15,"John Lawrence,John Humphrey,Marshall",3
1915-07-21,"Claude Elliott,Cornelius Stephen",2
1915-09-03,"Edward Raymond,Weldon Edison",2
1915-10-14,"Kenneth Alphonse,Max Cullen,William Brown",3
1915-11-11,"Wilfred Henry,George Washington",2
1915-11-16,"Blas,Ben Garth",2
1915-12-07,"John Alexander,Vincent Ambrose",2
1915-12-19,"Nicholas Joseph,Floyd Edwin",2
1916-01-24,"Walter Franklin,Clemens Johann",2
1916-01-28,"Marion Brooks,Robert Cleveland",2
1916-02-09,"Frederick Albert,Cecil Carlton",2
1916-02-11,"George John,Samuel Walter",2
1916-03-18,"Hiram Gabriel,Elburt Preston,Edward Erving",3
1916-04-04,"Arnold Malcolm,James Willard",2
1916-04-11,"Joseph,Samuel Blake",2
1916-04-14,"John Richard Joseph,Jerome Edward",2
1916-05-12,"Edward Dixon,Henry Ludwig",2
1916-07-24,"Albert Dell,Richard Frederick",2
1916-08-01,"Elmer Donald,Floyd Marvin",2
1916-08-10,"James Verlin,John Kelly",2
1916-08-31,"Daniel Webster,Raymond James",2
1916-09-08,"Thomas Richard,James Charles Jacob",2
1916-09-12,"Ralph Conant,Charles Ernest",2
1916-09-19,"Reuben Walter,Robert Maxey",2
1916-10-08,"Joseph Thomas,Rex Ralston",2
1916-10-21,"Floyd Clifford,Edwin Elliott",2
1916-11-15,"Milton John,Joseph Paul",2
1916-11-26,"Robert Irving,Edward Robert,Walter Franklin",3
1916-12-05,"Stephen Stepanovich,Leonard Bernard",2
1916-12-13,"Louis Charles Frank,Henry",2
1917-01-30,"Maurice Charles,Allen Francis",2
1917-02-10,"Allie Pierce,Walter Roy,Edward Lawrence",3
1917-02-19,"Charles,Thomas Francis Aloysius",2
1917-03-01,"Isaac Overton,Adam Rankin",2
1917-03-06,"Forrest Gordon,Walker James",2
1917-04-18,"Byron Joseph,Nicholas,Vincent",3
1917-04-26,"Salvatore Anthony,Virgil Oliver",2
1917-05-01,"John,Thomas Cousineau",2
1917-05-05,"Leonard Richard,George Woodrow",2
1917-05-11,"David Orvis,John Glenn",2
1917-05-13,"Carden Edison,Louis Bernard",2
1917-06-14,"Raymond Lamont,Harold Carl",2
1917-06-23,"John Doward,Leslie Roe",2
1917-08-26,"Michael John,George Bernard",2
1917-09-25,"Philip Francis,John Franklin",2
1917-09-28,"Michael Edward,Glen Hubert,Roy Edwin",3
1917-10-08,"Daniel Edward,William Harrel",2
1917-10-21,"Frank Richard,Robert Alexander",2
1917-11-03,"Leonard Preston,Aloysius Joseph",2
1917-11-20,"Andrew Joseph,Michael,Felix Thaddeus",3
1917-11-23,"John Joseph,Herman Charles",2
1917-11-26,"Michael Thomas,Orge Patterson",2
1917-12-12,"Clyde Franklin,Robert Louis",2
1918-01-06,"John Michael,William Francis",2
1918-01-11,"Alfred Stephen,Ernest Henry",2
1918-01-13,"Everett Joseph,Stephen Mathias,Robert Emmett",3
1918-01-25,"Edward Marvin,Emerson Corey",2
1918-02-08,"Arthur Joseph,Elmer Leroy",2
1918-02-23,"James Arthur,Ivoria Hillis",2
1918-03-03,"David Forrest,William Joseph",2
1918-03-22,"Wilburn Rue,Carl Thomas",2
1918-05-21,"Stanley,Walter Nesbitt",2
1918-06-05,"Alva William,David Everett",2
1918-07-23,"Harold Henry,Walter Anthony",2
1918-08-04,"Frank,Donald Martin",2
1918-08-08,"Marlin Henry,Charles Emory",2
1918-08-23,"John Vernon,Edward Joseph,Kenneth Edward",3
1918-08-28,"Joffre James,Roland Arthur",2
1918-08-29,"Joseph Charles,Garland Frederick",2
1918-08-30,"William Russell,Theodore Samuel",2
1918-09-04,"George Edward,William Franklin",2
1918-10-07,"Irvin Gladstone,Frank Conrad",2
1918-10-22,"Louis Frank,Frederick John",2
1918-12-19,"Thomas Edward,William Callahan",2
1918-12-31,"Albert Wesley,John James",2
1919-01-29,"William Symmes,Henry Albert",2
1919-01-31,"Jack Roosevelt,Kenneth Harlin",2
1919-03-15,"William Frederick,Rafael Miguel",2
1919-03-18,"Milton,Harold George",2
1919-05-16,"Frank W.,Harold Ross",2
1919-05-28,"Stephen,Arthur Joseph",2
1919-06-08,"Damon Roswell,Charles Murrell",2
1919-07-16,"V T,Arthur Henry",2
1919-08-06,"Robert Harwood,Delbert Leon",2
1919-08-09,"Ralph George,John Frederick",2
1919-08-17,"Ernie Wyre,Clemens Raymond",2
1919-08-22,"Frank,Edwin Charles",2
1919-08-29,"Orval Leroy,William Richard",2
1919-09-05,"Raymond Daniel,Thomas Jefferson",2
1919-10-01,"Robert Richard,Bernard James",2
1919-12-31,"Thomas Joseph,Loyd Eugene",2
1920-01-16,"Raymond Herman,Leroy Everett",2
1920-02-20,"William Thrace,Frank William",2
1920-03-28,"Fred James,Boris Michael",2
1920-07-03,"Alvin Atlas,Paul",2
1920-07-26,"Joseph Edward,Sebastian Daniel",2
1920-08-03,"James Edward,Victor Oscar",2
1920-08-21,"Armand Joseph,Mizell George,Gerald Lee",3
1920-09-18,"Paul Allen,Edward Michael",2
1920-09-22,"Robert Granville,Lawrence Edward",2
1920-11-02,"John Paul,Richard Allan",2
1920-11-09,"Homer Franklin,Dick Corwin,William Lawrence",3
1921-01-08,"Herbert Leroy,John Patrick,Marvin August",3
1921-02-08,"Walter Arthur,Willard Warren",2
1921-03-01,"Francis James,Howard Francis",2
1921-03-10,"James Curtis,John Louis,George Rezin",3
1921-05-06,"Robert Vincent,Richard Cummings",2
1921-05-20,"Harold,Earl Wellington",2
1921-06-27,"Louis Henry,Henry Bernard",2
1921-06-30,"Harold John,Joseph Chester",2
1921-07-22,"Alfred Anthony,Manuel Joseph",2
1921-07-25,"Marvin Eugene,Carlos Santiago",2
1921-08-28,"Clifford Alexander,William D.",2
1921-10-07,"Charles Dwight,Charles Francis,Albert",3
1921-10-30,"Talmadge Lafayette,Chester Lawrence",2
1921-11-26,"Tullis Earl,Joseph Sam",2
1922-02-12,"Michael John,Forrest Harry",2
1922-02-18,"Joseph John,Joe Hicks",2
1922-02-20,"James Alger,William Edgar",2
1922-02-22,"George Michael,Frank Thomas",2
1922-03-08,"Carl Anthony,Albert Francis",2
1922-05-11,"Montia Calvin,Nestor George",2
1922-05-18,"Michael,Gilbert Fitzgerald,Samuel Lawrence",3
1922-06-04,"Ross Albert,Raymond Leroy",2
1922-07-03,"John Arthur,Howard Henry",2
1922-08-11,"Calvin Asa,Robert Linwood",2
1922-09-01,"Joseph Henry,Victor Dee",2
1922-09-06,"Louis Alexander,Harry Walter",2
1922-10-27,"Delbert W.,Ralph McPherran",2
1922-11-25,"Benjamin Styron,John Frederick",2
1923-07-07,"Edward Robert,Joseph Paul",2
1923-07-15,"Charles Bruce,Marion John",2
1923-08-10,"Lloyd William,Peter,Erwin Cooledge",3
1923-08-17,"Thomas Knox,Harry Duquesne",2
1923-09-17,"Leslie Earl,Robert Burton",2
1923-10-25,"Russell Charles,Robert Brown",2
1923-12-28,"Frederick Clinton,Donald Newlin",2
1924-01-01,"Charles Tuller,Clifford Earl",2
1924-03-06,"Edward Frank,Clarence Anthony",2
1924-04-27,"William Travis,Frank James",2
1924-07-01,"Kenneth Lanier,Jack Raymond",2
1924-07-07,"Melvin Earl,John Earl",2
1924-08-05,"Ralph Joseph,John Edward",2
1924-09-06,"James Riley,Harold Bentley,George Edward",3
1924-09-12,"George Thomas,Emory Nicholas",2
1924-10-13,"Charles Anthony Ryan,Dee Virgil",2
1924-10-14,"David,William Beneditto",2
1924-12-19,"Rex Edward,Herbert Allen",2
1925-01-22,"Robert George,John George",2
1925-05-05,"Robert Henry,John William",2
1925-06-08,"Delmer,Edward Carl",2
1925-06-29,"Vernal Leroy,William Wirt",2
1925-07-30,"William Joseph,William Vincent",2
1925-09-28,"Wenceslao,William Lee",2
1925-12-01,"Calvin Coolidge Julius Caesar Tuskahoma,Niles Chapman",2
1925-12-21,"Kent Franklin,Robert Ransom",2
1926-02-06,"Samuel Francis,Richard Dale",2
1926-02-07,"Jerald Hal,Matthew Daniel",2
1926-04-12,"Walter Joseph,Louis Thomas",2
1926-07-05,"Mario Peter,Roy Lee",2
1926-08-06,"Clement Walter,Ralph Richard",2
1926-08-15,"George Warren,James Patrick",2
1926-09-16,"Roger Hornsby,Kurt Ferdinand",2
1926-09-19,"Edwin Donald,Murray Wesley",2
1926-10-28,"Rudolph Joseph,Bowie Kent",2
1927-02-07,"Allen Gordon,Joseph Paul",2
1927-02-18,"Luis Enrique,Herman Ralph",2
1927-03-21,"Bernard Odell,Owen Lacey",2
1927-04-26,"Granville Wilbur,Robert George",2
1927-07-07,"Harold Kefauver,Sammy Charles",2
1927-07-31,"Wilmer Ebert,Albert Julius",2
1927-08-07,"Arthur Joseph,Everett Lamar",2
1927-09-01,"Cloyd Victor,Thomas Roland,Robert Louis Paul",3
1927-09-14,"William James,Darius Dutton",2
1927-10-24,"James Raymond,Calvin Grey",2
1927-12-26,"Stuart Leonard,Clyde Daniel",2
1928-01-11,"Loren Rolland,Carl Edgar",2
1928-02-07,"Felipe Angel,Alphonse Eugene",2
1928-05-11,"Vernon Fred,Melvin James",2
1928-06-08,"Alexander James,Vibert Ernesto",2
1928-06-20,"Arthur William,Robert Paul",2
1928-06-29,"Nicholas,Gene Kermit",2
1928-07-30,"William Lemuel,Joseph Henry",2
1928-08-03,"Clifford David,Richard Elde",2
1928-08-25,"Darrell Dean,Floyd Lewis",2
1928-09-27,"Thornton John,Perry Gilmore",2
1928-10-15,"James Dalton,Gail Curtice",2
1928-11-15,"David Russell,Norman Brooks",2
1928-12-09,"William Joseph,Joseph Paul",2
1928-12-25,"Frank DeWitt,Michael John",2
1929-02-22,"Charles,Rinold George",2
1929-04-29,"Maurice Joseph,Stephen George",2
1929-07-04,"William Leonard,William Robert,Werner Joseph",3
1929-07-08,"John Calvin,Hector Headley",2
1929-12-14,"Carl James,Thomas Peter",2
1930-02-26,"Victor Felix,Ronald Alvin",2
1930-02-28,"Dolan Levon,Ronald Edward,Frank James",3
1930-04-02,"Arthur Edward,Gordon Bassett",2
1930-06-25,"Guillermo Romero,Humberto Valentino",2
1930-07-03,"James Patrick,Alfred James",2
1930-07-08,"Howard Edward,Glen Edward",2
1930-08-09,"Roman,Milton Joseph",2
1930-08-13,"Wilmer David,Robert George",2
1930-08-14,"Earl Sidney,Dale Roger",2
1930-08-22,"Robert Charles,Frank John",2
1930-10-02,"John Richard,James Edward",2
1930-11-04,"Richard Morrow,Guy",2
1930-11-10,"Charles Gilbert,Donald Eugene",2
1930-12-07,"Mark Price,Harold Wayne",2
1930-12-11,"Edward Joseph,John Thomas,Andrew William",3
1930-12-18,"William Joseph,Michael",2
1931-01-07,"Veston Goff,Roman Anthony",2
1931-01-29,"James Sloan,Hyman",2
1931-01-31,"Henry John,Ernest",2
1931-03-13,"Carlos Alberto,Fred Donald",2
1931-04-14,"Donald Athey,Kal Hill",2
1931-06-02,"Marshall,Lawrence Curtis",2
1931-06-06,"Rodolfo,Carlton Francis",2
1931-07-31,"Walter Gary,Joseph Vann",2
1931-09-09,"Peter Alphonsus,Earl Douglas",2
1931-11-09,"Dorrel Norman Elvert,George Adrian",2
1931-12-10,"Rudolph Albert,Robert Edward",2
1931-12-13,"Wycliffe Nathaniel,Donald Lee",2
1932-03-09,"Ronald Lee,Paul Charles",2
1932-03-25,"Walter Anderson,Woodson George",2
1932-05-09,"Thomas J.,Anthony Joseph",2
1932-05-17,"William Frederick,Osvaldo Jose",2
1932-06-13,"William,Thomas Everett",2
1932-07-09,"Orville Inman,William Carroll,Truman Eugene",3
1932-08-29,"Eric Hugh,Roger Morton",2
1933-01-06,"Leonard Charles,Ray Lee",2
1933-02-10,"William Oliver,Gerald Lee,Russell Frederick",3
1933-04-07,"William Joseph,Robert George",2
1933-06-02,"Jerry Dean,Benjamin Beltran",2
1933-06-26,"Joseph Peter,Gene Leroy",2
1933-11-17,"Daniel,Orlando Gregorio",2
1934-03-08,"Willard Mitchell,Marvin Eugene",2
1934-05-06,"Thomas Henry,Leo Patrick",2
1934-05-13,"Donald Everett,Leon Lamar",2
1934-08-18,"Roberto,William Angelo",2
1935-02-03,"Richard Joseph,Clyde Donald",2
1935-04-19,"Donald Loren,Hector Anibal,John",3
1935-04-28,"Pedro,Robert Allen",2
1935-06-01,"Harold Everette,John Francis",2
1935-07-15,"Donn Alvin,Robert Gerald",2
1935-07-26,"Drew Edward,Louis Clarence",2
1935-09-02,"Donald Reid,Gordon Richard",2
1935-09-29,"Robert Carl,Howard William",2
1935-10-12,"Larry Sidney,Anthony Christopher",2
1935-12-13,"Joseph O'Neal,Lyndall Dale",2
1936-01-05,"Daryl Berdene,Clyde Stalcup",2
1936-01-09,"Julio,Ralph Willard",2
1936-03-02,"Donald Bernard,James Joseph",2
1936-04-01,"Ronald Peter,Theodore",2
1936-08-07,"Ronald Baxter,Gerald Edward,Robert Sidney",3
1936-08-12,"Thomas John,Ellis Narrington",2
1936-11-03,"Richard Franklin,Earl John",2
1936-12-03,"Clayton Errol,David Louis",2
1936-12-10,"Howard Rodney,Jack Leland",2
