yearID,teamID,total_spend,cumu_sum
2010,CHN,146609000,1480.5
2011,CHN,125047329,1605.5
2012,CHN,88197033,1693.7
2013,CHN,100567726,1794.3
2014,CHN,65522500,1859.8
1985,CIN,8359917,8.4
1986,CIN,11906388,20.3
1987,CIN,9281500,29.5
1988,CIN,8888409,38.4
1989,CIN,11072000,49.5
1990,CIN,14370000,63.9
1991,CIN,26305333,90.2
1992,CIN,35931499,126.1
1993,CIN,44879666,171.0
1994,CIN,40961833,212.0
1995,CIN,43144670,255.1
1996,CIN,42526334,297.6
1997,CIN,49768000,347.4
1998,CIN,23005000,370.4
1999,CIN,33962761,404.4
2000,CIN,46867200,451.2
2001,CIN,48986000,500.2
2002,CIN,45050390,545.3
2003,CIN,59355667,604.6
2004,CIN,46615250,651.2
2005,CIN,61892583,713.1
2006,CIN,60909519,774.0
2007,CIN,68524980,842.6
2008,CIN,74117695,916.7
2009,CIN,73558500,990.2
2010,CIN,71761542,1062.0
2011,CIN,75947134,1137.9
2012,CIN,82203616,1220.2
2013,CIN,106404462,1326.6
2014,CIN,108217500,1434.8
1985,CLE,6551666,6.6
1986,CLE,7809500,14.4
1987,CLE,8513750,22.9
1988,CLE,8936500,31.8
1989,CLE,9094500,40.9
1990,CLE,14487000,55.4
1991,CLE,17635000,73.0
1992,CLE,9373044,82.4
1993,CLE,18561000,101.0
1994,CLE,30490500,131.5
1995,CLE,37937835,169.4
1996,CLE,48107360,217.5
1997,CLE,56802460,274.3
1998,CLE,60800166,335.1
1999,CLE,72978462,408.1
2000,CLE,75880771,484.0
2001,CLE,93152001,577.1
2002,CLE,78909449,656.0
2003,CLE,48584834,704.6
2004,CLE,34319300,738.9
2005,CLE,41502500,780.4
2006,CLE,56031500,836.5
2007,CLE,61673267,898.1
2008,CLE,78970066,977.1
2009,CLE,81579166,1058.7
2010,CLE,61203966,1119.9
2011,CLE,48776566,1168.7
2012,CLE,78430300,1247.1
2013,CLE,75771800,1322.9
2014,CLE,82151899,1405.0
1993,COL,10353500,10.4
1994,COL,23887333,34.2
1995,COL,34154717,68.4
1996,COL,40179823,108.6
1997,COL,43559667,152.1
1998,COL,50484648,202.6
1999,COL,61935837,264.6
2000,COL,61111190,325.7
2001,COL,71541334,397.2
2002,COL,56851043,454.1
2003,COL,67179667,521.2
2004,COL,65445167,586.7
2005,COL,47839000,634.5
2006,COL,41233000,675.8
2007,COL,54041000,729.8
2008,COL,68655500,798.5
2009,COL,75201000,873.7
2010,COL,84227000,957.9
2011,COL,88148071,1046.0
2012,COL,78069571,1124.1
2013,COL,74409071,1198.5
2014,COL,95403500,1293.9
1985,DET,10348143,10.3
1986,DET,12335714,22.7
1987,DET,12122881,34.8
1988,DET,12869571,47.7
1989,DET,15146404,62.8
1990,DET,17593238,80.4
1991,DET,23838333,104.3
1992,DET,27322834,131.6
1993,DET,38150165,169.7
1994,DET,41446501,211.2
1995,DET,37044168,248.2
1996,DET,23438000,271.7
1997,DET,17272000,288.9
1998,DET,24065000,313.0
1999,DET,36489666,349.5
2000,DET,58265167,407.7
2001,DET,53416167,461.2
2002,DET,55048000,516.2
2003,DET,49168000,565.4
2004,DET,46832000,612.2
2005,DET,69092000,681.3
2006,DET,82612866,763.9
2007,DET,94800369,858.7
2008,DET,137685196,996.4
2009,DET,115085145,1111.5
2010,DET,122864928,1234.4
2011,DET,105700231,1340.1
2012,DET,132300000,1472.4
2013,DET,145989500,1618.3
2014,DET,152855500,1771.2
1993,FLO,19330545,19.3
1994,FLO,21633000,41.0
1995,FLO,24515781,65.5
1996,FLO,31022500,96.5
1997,FLO,48692500,145.2
1998,FLO,41322667,186.5
1999,FLO,21085000,207.6
2000,FLO,19872000,227.5
2001,FLO,35762500,263.2
2002,FLO,41979917,305.2
2003,FLO,49450000,354.7
2004,FLO,42143042,396.8
2005,FLO,60408834,457.2
2006,FLO,14671500,471.9
2007,FLO,30507000,502.4
2008,FLO,21811500,524.2
2009,FLO,36834000,561.0
2010,FLO,57029719,618.1
2011,FLO,56944000,675.0
1985,HOU,9993051,10.0
1986,HOU,9873276,19.9
1987,HOU,12608371,32.5
1988,HOU,12286167,44.8
1989,HOU,15029500,59.8
1990,HOU,18330000,78.1
1991,HOU,12852500,91.0
1992,HOU,15407500,106.4
1993,HOU,30210500,136.6
1994,HOU,33126000,169.7
1995,HOU,34169834,203.9
1996,HOU,28487000,232.4
1997,HOU,34777500,267.2
1998,HOU,42374000,309.5
1999,HOU,54914000,364.4
2000,HOU,51289111,415.7
2001,HOU,60612667,476.3
2002,HOU,63448417,539.8
2003,HOU,71040000,610.8
2004,HOU,75397000,686.2
2005,HOU,76779000,763.0
2006,HOU,88694435,851.7
2007,HOU,87759000,939.5
2008,HOU,88930414,1028.4
2009,HOU,102996414,1131.4
2010,HOU,92355500,1223.7
2011,HOU,70694000,1294.4
2012,HOU,60651000,1355.1
2013,HOU,17890700,1373.0
2014,HOU,35116300,1408.1
1985,KCA,9321179,9.3
1986,KCA,13043698,22.4
1987,KCA,11828056,34.2
1988,KCA,14556562,48.7
1989,KCA,18683568,67.4
1990,KCA,23361084,90.8
1991,KCA,26319834,117.1
1992,KCA,33893834,151.0
1993,KCA,41346167,192.4
1994,KCA,40541334,232.9
1995,KCA,29532834,262.4
1996,KCA,20281250,282.7
1997,KCA,34655000,317.4
1998,KCA,36862500,354.2
1999,KCA,26225000,380.5
2000,KCA,23433000,403.9
2001,KCA,35422500,439.3
2002,KCA,47257000,486.6
2003,KCA,40518000,527.1
2004,KCA,47609000,574.7
2005,KCA,36881000,611.6
2006,KCA,47294000,658.9
2007,KCA,67116500,726.0
2008,KCA,58245500,784.2
2009,KCA,70519333,854.7
2010,KCA,71405210,926.2
2011,KCA,35712000,961.9
2012,KCA,60916225,1022.8
2013,KCA,80091725,1102.9
2014,KCA,74594075,1177.5
2005,LAA,94867822,94.9
2006,LAA,103472000,198.3
2007,LAA,109251333,307.6
2008,LAA,119216333,426.8
2009,LAA,113709000,540.5
2010,LAA,104963866,645.5
2011,LAA,138543166,784.0
2012,LAA,154485166,938.5
2013,LAA,124174750,1062.7
2014,LAA,121988250,1184.7
1985,LAN,10967917,11.0
1986,LAN,14913776,25.9
1987,LAN,13675403,39.6
1988,LAN,16850515,56.4
1989,LAN,21071562,77.5
1990,LAN,21318704,98.8
1991,LAN,32790664,131.6
1992,LAN,44788166,176.4
1993,LAN,39331999,215.7
1994,LAN,38000001,253.7
1995,LAN,39273201,293.0
1996,LAN,35355000,328.3
1997,LAN,45380304,373.7
1998,LAN,48820000,422.5
1999,LAN,80862453,503.4
2000,LAN,87924286,591.3
2001,LAN,109105953,700.4
2002,LAN,94850953,795.3
2003,LAN,105572620,900.9
2004,LAN,92902001,993.8
2005,LAN,83039000,1076.8
2006,LAN,98447187,1175.2
2007,LAN,108454524,1283.7
2008,LAN,118588536,1402.3
2009,LAN,100414592,1502.7
2010,LAN,95358016,1598.1
2011,LAN,104188999,1702.2
2012,LAN,95143575,1797.4
2013,LAN,223362196,2020.8
2014,LAN,217014600,2237.8
2012,MIA,118078000,118.1
2013,MIA,33601900,151.7
2014,MIA,41836900,193.5
1998,MIL,33914904,33.9
1999,MIL,43377395,77.3
2000,MIL,36505333,113.8
2001,MIL,43886833,157.7
2002,MIL,50287833,208.0
2003,MIL,40627000,248.6
2004,MIL,27528500,276.1
2005,MIL,39934833,316.1
2006,MIL,57568333,373.6
2007,MIL,70986500,444.6
2008,MIL,80937499,525.6
2009,MIL,80182502,605.7
2010,MIL,81108278,686.8
2011,MIL,85497333,772.3
2012,MIL,97653944,870.0
2013,MIL,76947033,946.9
2014,MIL,101217000,1048.2
1985,MIN,5764821,5.8
1986,MIN,8748167,14.5
1987,MIN,6397500,20.9
1988,MIN,12462666,33.4
1989,MIN,15531666,48.9
1990,MIN,14602000,63.5
1991,MIN,23361833,86.9
1992,MIN,28027834,114.9
1993,MIN,28217933,143.1
1994,MIN,28438500,171.6
1995,MIN,25410500,197.0
1996,MIN,23117000,220.1
1997,MIN,34072500,254.2
1998,MIN,27927500,282.1
1999,MIN,21257500,303.3
2000,MIN,16519500,319.9
2001,MIN,24130000,344.0
2002,MIN,40425000,384.4
2003,MIN,55505000,439.9
2004,MIN,53585000,493.5
2005,MIN,56186000,549.7
2006,MIN,63396006,613.1
2007,MIN,71439500,684.5
2008,MIN,56932766,741.5
2009,MIN,65299266,806.8
2010,MIN,97559166,904.3
2011,MIN,112737000,1017.1
2012,MIN,94085000,1111.1
2013,MIN,75337500,1186.5
2014,MIN,83762500,1270.2
1985,ML4,11284107,11.3
1986,ML4,9943642,21.2
1987,ML4,7293224,28.5
1988,ML4,8402000,36.9
1989,ML4,11533000,48.5
1990,ML4,19719167,68.2
1991,ML4,23115500,91.3
1992,ML4,31013667,122.3
1993,ML4,23806834,146.1
1994,ML4,24350500,170.5
1995,ML4,17798825,188.3
1996,ML4,21730000,210.0
1997,ML4,23655338,233.6
1985,MON,9470166,9.5
1986,MON,11103600,20.6
1987,MON,6942052,27.5
1988,MON,9603333,37.1
1989,MON,13807389,50.9
1990,MON,16586388,67.5
1991,MON,10732333,78.2
1992,MON,15822334,94.1
1993,MON,18899333,113.0
1994,MON,19098000,132.1
1995,MON,12364000,144.4
1996,MON,16264500,160.7
1997,MON,19295500,180.0
1998,MON,10641500,190.6
1999,MON,17903000,208.5
2000,MON,32994333,241.5
2001,MON,35159500,276.7
2002,MON,38670500,315.4
2003,MON,51948500,367.3
2004,MON,40897500,408.2
1985,NYA,14238204,14.2
1986,NYA,18494253,32.7
1987,NYA,17099714,49.8
1988,NYA,19441152,69.3
1989,NYA,17114375,86.4
1990,NYA,20912318,107.3
1991,NYA,27344168,134.6
1992,NYA,37543334,172.2
1993,NYA,42624900,214.8
1994,NYA,45731334,260.5
1995,NYA,48874851,309.4
1996,NYA,54191792,363.6
1997,NYA,62241545,425.9
1998,NYA,66806867,492.7
1999,NYA,86734359,579.4
2000,NYA,92338260,671.7
2001,NYA,112287143,784.0
2002,NYA,125928583,909.9
2003,NYA,152749814,1062.7
2004,NYA,184193950,1246.9
2005,NYA,208306817,1455.2
2006,NYA,194663079,1649.9
2007,NYA,189259045,1839.1
2008,NYA,207896789,2047.0
2009,NYA,201449189,2248.5
2010,NYA,206333389,2454.8
2011,NYA,202275028,2657.1
2012,NYA,196522289,2853.6
2013,NYA,231978886,3085.6
2014,NYA,197543907,3283.1
2014,NYM,54806990,54.8
1985,NYN,10834762,10.8
1986,NYN,15393714,26.2
1987,NYN,13846714,40.1
1988,NYN,15269314,55.3
1989,NYN,19885071,75.2
1990,NYN,21722834,97.0
1991,NYN,32590001,129.5
1992,NYN,44602002,174.1
1993,NYN,39043667,213.2
1994,NYN,30956583,244.1
1995,NYN,27674992,271.8
1996,NYN,24479500,296.3
1997,NYN,39800400,336.1
1998,NYN,52077999,388.2
1999,NYN,65092092,453.3
2000,NYN,79509776,532.8
2001,NYN,93174428,626.0
2002,NYN,94633593,720.6
2003,NYN,116876429,837.5
2004,NYN,96660970,934.1
2005,NYN,101305821,1035.4
2006,NYN,101084963,1136.5
2007,NYN,115231663,1251.7
2008,NYN,137793376,1389.5
2009,NYN,149373987,1538.9
2010,NYN,134422942,1673.3
2011,NYN,118847309,1792.2
2012,NYN,93353983,1885.5
2013,NYN,49448346,1935.0
2014,NYN,30750000,1965.7
1985,OAK,9058606,9.1
1986,OAK,9779421,18.8
1987,OAK,11680839,30.5
1988,OAK,9690000,40.2
1989,OAK,15613070,55.8
1990,OAK,19887501,75.7
1991,OAK,36999167,112.7
1992,OAK,41035000,153.7
1993,OAK,37812333,191.6
1994,OAK,34172500,225.7
1995,OAK,37739225,263.5
1996,OAK,21243000,284.7
1997,OAK,24018500,308.7
1998,OAK,21303000,330.0
1999,OAK,24431833,354.5
2000,OAK,31971333,386.4
2001,OAK,33810750,420.2
2002,OAK,40004167,460.3
2003,OAK,50260834,510.5
2004,OAK,59425667,569.9
2005,OAK,55425762,625.4
2006,OAK,62243079,687.6
2007,OAK,79366940,767.0
2008,OAK,47967126,814.9
2009,OAK,61910000,876.8
2010,OAK,55254900,932.1
2011,OAK,66536500,998.6
2012,OAK,55372500,1054.0
2013,OAK,60132500,1114.1
2014,OAK,72408400,1186.6
1985,PHI,10124966,10.1
1986,PHI,11590166,21.7
1987,PHI,11514233,33.2
1988,PHI,13838000,47.1
1989,PHI,10604000,57.7
1990,PHI,13173667,70.8
1991,PHI,22487332,93.3
1992,PHI,24383834,117.7
1993,PHI,28538334,146.3
1994,PHI,31599000,177.9
1995,PHI,30555945,208.4
1996,PHI,34314500,242.7
1997,PHI,36656500,279.4
1998,PHI,36297500,315.7
1999,PHI,31692500,347.4
2000,PHI,47308000,394.7
2001,PHI,41663833,436.3
2002,PHI,57954999,494.3
2003,PHI,70780000,565.1
2004,PHI,92919167,658.0
2005,PHI,95522000,753.5
2006,PHI,88273333,841.8
2007,PHI,89428213,931.2
2008,PHI,97879880,1029.1
2009,PHI,113004046,1142.1
2010,PHI,141928379,1284.0
2011,PHI,172976379,1457.0
2012,PHI,174538938,1631.5
2013,PHI,169863189,1801.4
2014,PHI,180944967,1982.4
1985,PIT,9227500,9.2
1986,PIT,10843500,20.1
1987,PIT,7652000,27.7
1988,PIT,5998500,33.7
1989,PIT,12737500,46.5
1990,PIT,15556000,62.0
1991,PIT,23634667,85.6
